Series,Type,ID,Title-EN,BCV-EN,Verse-EN,Title-KR,BCV-KR,Verse-KR
04,N,1,Jacob,Genesis 25:26,Then the other twin was born with his hand grasping Esau’s heel. So they named him Jacob. Isaac was sixty years old when the twins were born.,야곱,창세기 25:26,나중에 나온 그의 동생은 손으로 에서의 발꿈치를 꽉 잡았으므로 그 이름을 ‘야곱’ 이라고 하였다. 리브가가 그들을 낳았을 때 이삭은 60세였다.
04,N,2,Twelve Sons of Jacob,Genesis 35:23-26,"(23) The sons of Leah were Reuben (Jacob’s oldest son), Simeon, Levi, Judah, Issachar, and Zebulun. (24) The sons of Rachel were Joseph and Benjamin. (25) The sons of Bilhah, Rachel’s servant, were Dan and Naphtali. (26) The sons of Zilpah, Leah’s servant, were Gad and Asher. These are the names of the sons who were born to Jacob at Paddan-aram.",야곱의 열두명 아들,창세기 35:23-26,"(23) 레아가 낳은 아들들은 야곱의 장남 르우벤과 그리고 시므온, 레위, 유다, 잇사갈, 스불론이며 (24) 라헬이 낳은 아들들은 요셉과 베냐민이고 (25) 라헬의 여종 빌하가 낳은 아들들은 단과 납달리이며 (26) 레아의 여종 실바가 낳은 아들들은 갓과 아셀이었다. 이들은 다 메소포타미아에서 낳은 야곱의 아들들이었다."
04,N,3,Reuben - Joseph's Oldest Brother,Genesis 37:21-22,"(21) But when Reuben heard of their scheme, he came to Joseph’s rescue. “Let’s not kill him,” he said. (22) “Why should we shed any blood? Let’s just throw him into this empty cistern here in the wilderness. Then he’ll die without our laying a hand on him.” Reuben was secretly planning to rescue Joseph and return him to his father.",르우벤-요셉의 형,창세기 37:21-22,(21) 그때 르우벤이 이 말을 듣고 요셉을 구하려고 이렇게 말하였다. “우리가 그를 죽이지는 말자. (22) 그를 이 구덩이에 던져 넣고 그에게 손은 대지 말아라.” 르우벤이 이렇게 말한 것은 요셉을 그들에게서 구출하여 그를 아버지에게 돌려보내기 위해서였다.
04,N,4,Judah - Joseph's Brother,Genesis 37:26-27,"(26) Judah said to his brothers, “What will we gain by killing our brother? We’d have to cover up the crime. (27) Instead of hurting him, let’s sell him to those Ishmaelite traders. After all, he is our brother—our own flesh and blood!” And his brothers agreed.",유다-요셉의 형,창세기 37:26-27,"(26) 이때 유다가 자기 형제들에게 “우리가 우리 동생을 죽이고 그 사실을 숨긴들 무슨 유익이 있겠느냐? (27) 자, 그를 이스마엘 사람들에게 팔아 넘기고 그에게 손을 대지 말자. 그도 우리와 살과 피를 나눈 우리의 형제이다” 하자 그의 형제들이 그의 말에 동의하였다."
04,N,5,20 Pieces of Silver,Genesis 37:28,"So when the Ishmaelites, who were Midianite traders, came by, Joseph’s brothers pulled him out of the cistern and sold him to them for twenty pieces of silver. And the traders took him to Egypt.",은화 20개,창세기 37:28,미디안 상인들이 지나갈 때 그들은 요셉을 구덩이에서 끌어올려 은화 20개를 받고 그를 이스마엘 사람들에게 팔았다. 그러자 그 대상들은 요셉을 데리고 이집트로 갔다.
04,N,6,Joseph's Coat of Many Colors,Genesis 37:3,Jacob loved Joseph more than any of his other children because Joseph had been born to him in his old age. So one day Jacob had a special gift made for Joseph—a beautiful robe.,요셉의 화려한 겉옷,창세기 37:3,야곱은 노년에 요셉을 얻었으므로 다른 아들보다 그를 특별히 사랑하여 화려하게 장식한 긴 겉옷을 만들어 입혔다
04,N,7,Joseph's Dream of Wheat,Genesis 37:7,"“We were out in the field, tying up bundles of grain. Suddenly my bundle stood up, and your bundles all gathered around and bowed low before mine!”",요셉의 꿈에 나온 곡식,창세기 37:7,우리가 들에서 곡식단을 묶고 있는데 갑자기 내 단이 일어서고 형님들의 단은 내 단을 둘러서서 절하였습니다” 하자
04,N,8,Joseph's Dream of Stars,Genesis 37:9,"Soon Joseph had another dream, and again he told his brothers about it. “Listen, I have had another dream,” he said. “The sun, moon, and eleven stars bowed low before me!”",요셉의 꿈에 나온 별,창세기 37:9,요셉은 다시 꿈을 꾸고 형들에게 “내가 또 다른 꿈을 꾸었는데 꿈에 보니 해와 달과 열한 개의 별이 나에게 절하였습니다” 하고
04,N,9,Potiphar,Genesis 39:1,"When Joseph was taken to Egypt by the Ishmaelite traders, he was purchased by Potiphar, an Egyptian officer. Potiphar was captain of the guard for Pharaoh, the king of Egypt.",보디발,창세기 39:1,이스마엘 사람들이 요셉을 이집트로 데려가자 바로의 신하이며 경호 대장인 이집트 사람 보디발이 그를 샀다.
04,N,10,Potiphar's Wife,Genesis 39:10,"She kept putting pressure on Joseph day after day, but he refused to sleep with her, and he kept out of her way as much as possible.",보디발의 아내,창세기 39:10,그녀는 날마다 요셉에게 치근거렸지만 요셉은 거절하며 그녀와 잠자리를 같이하지도 않고 그녀와 함께 있지도 않았다.
